Index,Hogwarts House
0,Hufflepuff
1,Ravenclaw
2,Gryffindor
3,Hufflepuff
4,Hufflepuff
5,Hufflepuff
6,Ravenclaw
7,Hufflepuff
8,Ravenclaw
9,Hufflepuff
10,Hufflepuff
11,Hufflepuff
12,Hufflepuff
13,Hufflepuff
14,Hufflepuff
15,Hufflepuff
16,Ravenclaw
17,Hufflepuff
18,Ravenclaw
19,Hufflepuff
20,Hufflepuff
21,Hufflepuff
22,Ravenclaw
23,Ravenclaw
24,Hufflepuff
25,Hufflepuff
26,Ravenclaw
27,Hufflepuff
28,Gryffindor
29,Ravenclaw
30,Hufflepuff
31,Hufflepuff
32,Gryffindor
33,Hufflepuff
34,Hufflepuff
35,Ravenclaw
36,Gryffindor
37,Ravenclaw
38,Hufflepuff
39,Ravenclaw
40,Ravenclaw
41,Hufflepuff
42,Hufflepuff
43,Hufflepuff
44,Hufflepuff
45,Ravenclaw
46,Hufflepuff
47,Gryffindor
48,Ravenclaw
49,Hufflepuff
50,Ravenclaw
51,Hufflepuff
52,Ravenclaw
53,Ravenclaw
54,Hufflepuff
55,Hufflepuff
56,Hufflepuff
57,Ravenclaw
58,Hufflepuff
59,Gryffindor
60,Gryffindor
61,Gryffindor
62,Hufflepuff
63,Hufflepuff
64,Ravenclaw
65,Hufflepuff
66,Hufflepuff
67,Ravenclaw
68,Hufflepuff
69,Ravenclaw
70,Hufflepuff
71,Hufflepuff
72,Gryffindor
73,Ravenclaw
74,Gryffindor
75,Hufflepuff
76,Hufflepuff
77,Gryffindor
78,Ravenclaw
79,Gryffindor
80,Ravenclaw
81,Hufflepuff
82,Hufflepuff
83,Gryffindor
84,Gryffindor
85,Hufflepuff
86,Hufflepuff
87,Hufflepuff
88,Ravenclaw
89,Ravenclaw
90,Hufflepuff
91,Hufflepuff
92,Gryffindor
93,Hufflepuff
94,Ravenclaw
95,Ravenclaw
96,Gryffindor
97,Hufflepuff
98,Hufflepuff
99,Ravenclaw
100,Hufflepuff
101,Ravenclaw
102,Hufflepuff
103,Hufflepuff
104,Ravenclaw
105,Ravenclaw
106,Hufflepuff
107,Hufflepuff
108,Slytherin
109,Hufflepuff
110,Hufflepuff
111,Hufflepuff
112,Gryffindor
113,Ravenclaw
114,Hufflepuff
115,Ravenclaw
116,Ravenclaw
117,Hufflepuff
118,Hufflepuff
119,Ravenclaw
120,Gryffindor
121,Hufflepuff
122,Gryffindor
123,Gryffindor
124,Ravenclaw
125,Ravenclaw
126,Hufflepuff
127,Ravenclaw
128,Hufflepuff
129,Ravenclaw
130,Ravenclaw
131,Hufflepuff
132,Gryffindor
133,Hufflepuff
134,Hufflepuff
135,Ravenclaw
136,Ravenclaw
137,Hufflepuff
138,Gryffindor
139,Hufflepuff
140,Hufflepuff
141,Ravenclaw
142,Gryffindor
143,Ravenclaw
144,Gryffindor
145,Ravenclaw
146,Ravenclaw
147,Hufflepuff
148,Hufflepuff
149,Ravenclaw
150,Hufflepuff
151,Gryffindor
152,Gryffindor
153,Ravenclaw
154,Ravenclaw
155,Gryffindor
156,Hufflepuff
157,Hufflepuff
158,Hufflepuff
159,Ravenclaw
160,Ravenclaw
161,Hufflepuff
162,Hufflepuff
163,Hufflepuff
164,Ravenclaw
165,Slytherin
166,Hufflepuff
167,Hufflepuff
168,Hufflepuff
169,Hufflepuff
170,Gryffindor
171,Hufflepuff
172,Hufflepuff
173,Hufflepuff
174,Hufflepuff
175,Gryffindor
176,Gryffindor
177,Hufflepuff
178,Hufflepuff
179,Hufflepuff
180,Ravenclaw
181,Ravenclaw
182,Gryffindor
183,Hufflepuff
184,Gryffindor
185,Gryffindor
186,Hufflepuff
187,Ravenclaw
188,Hufflepuff
189,Hufflepuff
190,Gryffindor
191,Hufflepuff
192,Gryffindor
193,Ravenclaw
194,Ravenclaw
195,Hufflepuff
196,Ravenclaw
197,Hufflepuff
198,Hufflepuff
199,Gryffindor
200,Gryffindor
201,Hufflepuff
202,Ravenclaw
203,Hufflepuff
204,Gryffindor
205,Hufflepuff
206,Ravenclaw
207,Hufflepuff
208,Gryffindor
209,Ravenclaw
210,Gryffindor
211,Hufflepuff
212,Hufflepuff
213,Ravenclaw
214,Hufflepuff
215,Hufflepuff
216,Hufflepuff
217,Hufflepuff
218,Gryffindor
219,Gryffindor
220,Gryffindor
221,Gryffindor
222,Hufflepuff
223,Hufflepuff
224,Gryffindor
225,Ravenclaw
226,Ravenclaw
227,Ravenclaw
228,Hufflepuff
229,Hufflepuff
230,Gryffindor
231,Hufflepuff
232,Hufflepuff
233,Ravenclaw
234,Hufflepuff
235,Hufflepuff
236,Hufflepuff
237,Hufflepuff
238,Gryffindor
239,Gryffindor
240,Hufflepuff
241,Gryffindor
242,Hufflepuff
243,Hufflepuff
244,Gryffindor
245,Gryffindor
246,Ravenclaw
247,Ravenclaw
248,Hufflepuff
249,Hufflepuff
250,Slytherin
251,Hufflepuff
252,Hufflepuff
253,Hufflepuff
254,Ravenclaw
255,Ravenclaw
256,Hufflepuff
257,Ravenclaw
258,Hufflepuff
259,Ravenclaw
260,Hufflepuff
261,Ravenclaw
262,Ravenclaw
263,Hufflepuff
264,Hufflepuff
265,Ravenclaw
266,Ravenclaw
267,Gryffindor
268,Ravenclaw
269,Ravenclaw
270,Hufflepuff
271,Hufflepuff
272,Ravenclaw
273,Gryffindor
274,Ravenclaw
275,Hufflepuff
276,Ravenclaw
277,Gryffindor
278,Gryffindor
279,Hufflepuff
280,Hufflepuff
281,Hufflepuff
282,Hufflepuff
283,Ravenclaw
284,Hufflepuff
285,Ravenclaw
286,Ravenclaw
287,Hufflepuff
288,Gryffindor
289,Ravenclaw
290,Gryffindor
291,Gryffindor
292,Ravenclaw
293,Hufflepuff
294,Hufflepuff
295,Gryffindor
296,Hufflepuff
297,Hufflepuff
298,Hufflepuff
299,Hufflepuff
300,Hufflepuff
301,Hufflepuff
302,Hufflepuff
303,Hufflepuff
304,Ravenclaw
305,Hufflepuff
306,Hufflepuff
307,Ravenclaw
308,Hufflepuff
309,Hufflepuff
310,Hufflepuff
311,Hufflepuff
312,Hufflepuff
313,Gryffindor
314,Ravenclaw
315,Hufflepuff
316,Ravenclaw
317,Hufflepuff
318,Hufflepuff
319,Hufflepuff
320,Hufflepuff
321,Ravenclaw
322,Ravenclaw
323,Slytherin
324,Ravenclaw
325,Ravenclaw
326,Hufflepuff
327,Hufflepuff
328,Hufflepuff
329,Gryffindor
330,Ravenclaw
331,Hufflepuff
332,Gryffindor
333,Ravenclaw
334,Ravenclaw
335,Hufflepuff
336,Ravenclaw
337,Hufflepuff
338,Gryffindor
339,Hufflepuff
340,Hufflepuff
341,Hufflepuff
342,Ravenclaw
343,Gryffindor
344,Hufflepuff
345,Hufflepuff
346,Hufflepuff
347,Ravenclaw
348,Ravenclaw
349,Hufflepuff
350,Slytherin
351,Gryffindor
352,Hufflepuff
353,Ravenclaw
354,Hufflepuff
355,Hufflepuff
356,Hufflepuff
357,Hufflepuff
358,Gryffindor
359,Hufflepuff
360,Ravenclaw
361,Gryffindor
362,Gryffindor
363,Ravenclaw
364,Hufflepuff
365,Gryffindor
366,Hufflepuff
367,Hufflepuff
368,Gryffindor
369,Hufflepuff
370,Hufflepuff
371,Gryffindor
372,Gryffindor
373,Ravenclaw
374,Hufflepuff
375,Hufflepuff
376,Ravenclaw
377,Slytherin
378,Gryffindor
379,Slytherin
380,Gryffindor
381,Hufflepuff
382,Gryffindor
383,Gryffindor
384,Gryffindor
385,Gryffindor
386,Ravenclaw
387,Ravenclaw
388,Hufflepuff
389,Ravenclaw
390,Hufflepuff
391,Hufflepuff
392,Hufflepuff
393,Ravenclaw
394,Ravenclaw
395,Hufflepuff
396,Hufflepuff
397,Hufflepuff
398,Ravenclaw
399,Ravenclaw
